question,query
Get the customer_id from orders along with matching gpa from students.,"SELECT orders.customer_id, students.gpa FROM orders JOIN students ON orders.id = students.id;"
Get all rows from grades where grade is greater than the average.,SELECT * FROM grades WHERE grade > (SELECT AVG(grade) FROM grades);
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all department values from the courses table.,SELECT department FROM courses;
Show all name values from the departments table.,SELECT name FROM departments;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Get all rows from students where name is greater than the average.,SELECT * FROM students WHERE name > (SELECT AVG(name) FROM students);
Show all id values from the students table.,SELECT id FROM students;
Show all id values from the employees table.,SELECT id FROM employees;
Get the payment_method from payments along with matching credits from courses.,"SELECT payments.payment_method, courses.credits FROM payments JOIN courses ON payments.id = courses.id;"
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all grade values from the grades table.,SELECT grade FROM grades;
Get all rows from customers where name is greater than the average.,SELECT * FROM customers WHERE name > (SELECT AVG(name) FROM customers);
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all id values from the customers table.,SELECT id FROM customers;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all id values from the courses table.,SELECT id FROM courses;
Show all category values from the products table.,SELECT category FROM products;
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all id values from the employees table.,SELECT id FROM employees;
Show all gpa values from the students table.,SELECT gpa FROM students;
Get all rows from departments where name is greater than the average.,SELECT * FROM departments WHERE name > (SELECT AVG(name) FROM departments);
Show all price values from the products table.,SELECT price FROM products;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all title values from the courses table.,SELECT title FROM courses;
Show all name values from the departments table.,SELECT name FROM departments;
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all name values from the departments table.,SELECT name FROM departments;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all email values from the customers table.,SELECT email FROM customers;
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all department values from the courses table.,SELECT department FROM courses;
Get the total_amount from orders along with matching title from courses.,"SELECT orders.total_amount, courses.title FROM orders JOIN courses ON orders.id = courses.id;"
Show all enrollment_date values from the students table.,SELECT enrollment_date FROM students;
Get the title from courses along with matching gpa from students.,"SELECT courses.title, students.gpa FROM courses JOIN students ON courses.id = students.id;"
Show all price values from the products table.,SELECT price FROM products;
Show all email values from the customers table.,SELECT email FROM customers;
Get the order_date from orders along with matching student_id from grades.,"SELECT orders.order_date, grades.student_id FROM orders JOIN grades ON orders.id = grades.id;"
Show all major values from the students table.,SELECT major FROM students;
Show all name values from the students table.,SELECT name FROM students;
Show all name values from the students table.,SELECT name FROM students;
Get the signup_date from customers along with matching price from products.,"SELECT customers.signup_date, products.price FROM customers JOIN products ON customers.id = products.id;"
Show all major values from the students table.,SELECT major FROM students;
Show all grade values from the grades table.,SELECT grade FROM grades;
Get all rows from payments where order_id is greater than the average.,SELECT * FROM payments WHERE order_id > (SELECT AVG(order_id) FROM payments);
Get all rows from grades where student_id is greater than the average.,SELECT * FROM grades WHERE student_id > (SELECT AVG(student_id) FROM grades);
Show all email values from the customers table.,SELECT email FROM customers;
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all category values from the products table.,SELECT category FROM products;
Get all rows from students where gpa is greater than the average.,SELECT * FROM students WHERE gpa > (SELECT AVG(gpa) FROM students);
Get the name from students along with matching email from customers.,"SELECT students.name, customers.email FROM students JOIN customers ON students.id = customers.id;"
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all id values from the customers table.,SELECT id FROM customers;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all title values from the courses table.,SELECT title FROM courses;
Get all rows from courses where id is greater than the average.,SELECT * FROM courses WHERE id > (SELECT AVG(id) FROM courses);
Show all stock values from the products table.,SELECT stock FROM products;
Get the name from products along with matching signup_date from customers.,"SELECT products.name, customers.signup_date FROM products JOIN customers ON products.id = customers.id;"
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all stock values from the products table.,SELECT stock FROM products;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all credits values from the courses table.,SELECT credits FROM courses;
Get the payment_date from payments along with matching name from students.,"SELECT payments.payment_date, students.name FROM payments JOIN students ON payments.id = students.id;"
Show all email values from the customers table.,SELECT email FROM customers;
Show all grade values from the grades table.,SELECT grade FROM grades;
Get the id from departments along with matching title from courses.,"SELECT departments.id, courses.title FROM departments JOIN courses ON departments.id = courses.id;"
Show all id values from the payments table.,SELECT id FROM payments;
Get all rows from students where id is greater than the average.,SELECT * FROM students WHERE id > (SELECT AVG(id) FROM students);
Show all id values from the employees table.,SELECT id FROM employees;
Get the order_date from orders along with matching id from courses.,"SELECT orders.order_date, courses.id FROM orders JOIN courses ON orders.id = courses.id;"
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Get all rows from students where name is greater than the average.,SELECT * FROM students WHERE name > (SELECT AVG(name) FROM students);
Show all name values from the departments table.,SELECT name FROM departments;
Get all rows from courses where title is greater than the average.,SELECT * FROM courses WHERE title > (SELECT AVG(title) FROM courses);
Show all id values from the customers table.,SELECT id FROM customers;
Get all rows from departments where name is greater than the average.,SELECT * FROM departments WHERE name > (SELECT AVG(name) FROM departments);
Show all major values from the students table.,SELECT major FROM students;
Get all rows from courses where id is greater than the average.,SELECT * FROM courses WHERE id > (SELECT AVG(id) FROM courses);
Show all title values from the courses table.,SELECT title FROM courses;
Show all credits values from the courses table.,SELECT credits FROM courses;
Show all order_id values from the payments table.,SELECT order_id FROM payments;
Show all location values from the departments table.,SELECT location FROM departments;
Show all id values from the orders table.,SELECT id FROM orders;
Show all name values from the customers table.,SELECT name FROM customers;
Get all rows from products where category is greater than the average.,SELECT * FROM products WHERE category > (SELECT AVG(category) FROM products);
Get the department_id from employees along with matching student_id from grades.,"SELECT employees.department_id, grades.student_id FROM employees JOIN grades ON employees.id = grades.id;"
Show all id values from the courses table.,SELECT id FROM courses;
Get all rows from payments where payment_method is greater than the average.,SELECT * FROM payments WHERE payment_method > (SELECT AVG(payment_method) FROM payments);
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all id values from the courses table.,SELECT id FROM courses;
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all price values from the products table.,SELECT price FROM products;
Get the grade from grades along with matching id from customers.,"SELECT grades.grade, customers.id FROM grades JOIN customers ON grades.id = customers.id;"
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all id values from the courses table.,SELECT id FROM courses;
Show all location values from the departments table.,SELECT location FROM departments;
Show all id values from the products table.,SELECT id FROM products;
Show all id values from the products table.,SELECT id FROM products;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Get the customer_id from orders along with matching name from customers.,"SELECT orders.customer_id, customers.name FROM orders JOIN customers ON orders.id = customers.id;"
Get the department from courses along with matching course_id from grades.,"SELECT courses.department, grades.course_id FROM courses JOIN grades ON courses.id = grades.id;"
Show all name values from the students table.,SELECT name FROM students;
Show all department values from the courses table.,SELECT department FROM courses;
Show all salary values from the employees table.,SELECT salary FROM employees;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all credits values from the courses table.,SELECT credits FROM courses;
Get the enrollment_date from students along with matching department from courses.,"SELECT students.enrollment_date, courses.department FROM students JOIN courses ON students.id = courses.id;"
Show all id values from the courses table.,SELECT id FROM courses;
Get the gpa from students along with matching department from courses.,"SELECT students.gpa, courses.department FROM students JOIN courses ON students.id = courses.id;"
Show all email values from the customers table.,SELECT email FROM customers;
Show all title values from the courses table.,SELECT title FROM courses;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Get the payment_method from payments along with matching id from employees.,"SELECT payments.payment_method, employees.id FROM payments JOIN employees ON payments.id = employees.id;"
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all location values from the departments table.,SELECT location FROM departments;
Get all rows from orders where customer_id is greater than the average.,SELECT * FROM orders WHERE customer_id > (SELECT AVG(customer_id) FROM orders);
Get all rows from payments where payment_method is greater than the average.,SELECT * FROM payments WHERE payment_method > (SELECT AVG(payment_method) FROM payments);
Show all id values from the products table.,SELECT id FROM products;
Get the id from products along with matching amount from payments.,"SELECT products.id, payments.amount FROM products JOIN payments ON products.id = payments.id;"
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Get the hire_date from employees along with matching title from courses.,"SELECT employees.hire_date, courses.title FROM employees JOIN courses ON employees.id = courses.id;"
Get all rows from courses where id is greater than the average.,SELECT * FROM courses WHERE id > (SELECT AVG(id) FROM courses);
Get the id from departments along with matching department_id from employees.,"SELECT departments.id, employees.department_id FROM departments JOIN employees ON departments.id = employees.id;"
Get the name from customers along with matching id from departments.,"SELECT customers.name, departments.id FROM customers JOIN departments ON customers.id = departments.id;"
Show all price values from the products table.,SELECT price FROM products;
Get all rows from courses where credits is greater than the average.,SELECT * FROM courses WHERE credits > (SELECT AVG(credits) FROM courses);
Get the department from courses along with matching location from departments.,"SELECT courses.department, departments.location FROM courses JOIN departments ON courses.id = departments.id;"
Get the amount from payments along with matching customer_id from orders.,"SELECT payments.amount, orders.customer_id FROM payments JOIN orders ON payments.id = orders.id;"
Get all rows from employees where department_id is greater than the average.,SELECT * FROM employees WHERE department_id > (SELECT AVG(department_id) FROM employees);
Get all rows from orders where customer_id is greater than the average.,SELECT * FROM orders WHERE customer_id > (SELECT AVG(customer_id) FROM orders);
Get all rows from customers where id is greater than the average.,SELECT * FROM customers WHERE id > (SELECT AVG(id) FROM customers);
Show all id values from the students table.,SELECT id FROM students;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all id values from the customers table.,SELECT id FROM customers;
Get all rows from grades where student_id is greater than the average.,SELECT * FROM grades WHERE student_id > (SELECT AVG(student_id) FROM grades);
Show all location values from the departments table.,SELECT location FROM departments;
Show all location values from the departments table.,SELECT location FROM departments;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Get all rows from payments where payment_method is greater than the average.,SELECT * FROM payments WHERE payment_method > (SELECT AVG(payment_method) FROM payments);
Get the id from departments along with matching id from orders.,"SELECT departments.id, orders.id FROM departments JOIN orders ON departments.id = orders.id;"
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all grade values from the grades table.,SELECT grade FROM grades;
Show all price values from the products table.,SELECT price FROM products;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all id values from the payments table.,SELECT id FROM payments;
Get all rows from courses where title is greater than the average.,SELECT * FROM courses WHERE title > (SELECT AVG(title) FROM courses);
Show all id values from the departments table.,SELECT id FROM departments;
Get the location from departments along with matching payment_method from payments.,"SELECT departments.location, payments.payment_method FROM departments JOIN payments ON departments.id = payments.id;"
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Get all rows from customers where signup_date is greater than the average.,SELECT * FROM customers WHERE signup_date > (SELECT AVG(signup_date) FROM customers);
Show all id values from the customers table.,SELECT id FROM customers;
Get all rows from customers where name is greater than the average.,SELECT * FROM customers WHERE name > (SELECT AVG(name) FROM customers);
Show all name values from the departments table.,SELECT name FROM departments;
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Show all location values from the departments table.,SELECT location FROM departments;
Show all category values from the products table.,SELECT category FROM products;
Get the total_amount from orders along with matching amount from payments.,"SELECT orders.total_amount, payments.amount FROM orders JOIN payments ON orders.id = payments.id;"
Show all major values from the students table.,SELECT major FROM students;
Show all stock values from the products table.,SELECT stock FROM products;
Show all id values from the orders table.,SELECT id FROM orders;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all id values from the courses table.,SELECT id FROM courses;
Show all department values from the courses table.,SELECT department FROM courses;
Show all id values from the departments table.,SELECT id FROM departments;
Get all rows from departments where id is greater than the average.,SELECT * FROM departments WHERE id > (SELECT AVG(id) FROM departments);
Get all rows from courses where credits is greater than the average.,SELECT * FROM courses WHERE credits > (SELECT AVG(credits) FROM courses);
Show all course_id values from the grades table.,SELECT course_id FROM grades;
Show all id values from the courses table.,SELECT id FROM courses;
Get the stock from products along with matching amount from payments.,"SELECT products.stock, payments.amount FROM products JOIN payments ON products.id = payments.id;"
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all name values from the departments table.,SELECT name FROM departments;
Show all name values from the products table.,SELECT name FROM products;
Show all location values from the departments table.,SELECT location FROM departments;
Get the total_amount from orders along with matching category from products.,"SELECT orders.total_amount, products.category FROM orders JOIN products ON orders.id = products.id;"
Show all category values from the products table.,SELECT category FROM products;
Show all id values from the payments table.,SELECT id FROM payments;
Get the order_id from payments along with matching name from customers.,"SELECT payments.order_id, customers.name FROM payments JOIN customers ON payments.id = customers.id;"
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all credits values from the courses table.,SELECT credits FROM courses;
Get the order_date from orders along with matching payment_method from payments.,"SELECT orders.order_date, payments.payment_method FROM orders JOIN payments ON orders.id = payments.id;"
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all id values from the customers table.,SELECT id FROM customers;
Get the signup_date from customers along with matching credits from courses.,"SELECT customers.signup_date, courses.credits FROM customers JOIN courses ON customers.id = courses.id;"
Get the location from departments along with matching credits from courses.,"SELECT departments.location, courses.credits FROM departments JOIN courses ON departments.id = courses.id;"
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Show all department values from the courses table.,SELECT department FROM courses;
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all id values from the orders table.,SELECT id FROM orders;
Show all amount values from the payments table.,SELECT amount FROM payments;
Get the name from departments along with matching name from products.,"SELECT departments.name, products.name FROM departments JOIN products ON departments.id = products.id;"
Show all payment_method values from the payments table.,SELECT payment_method FROM payments;
Get all rows from employees where department_id is greater than the average.,SELECT * FROM employees WHERE department_id > (SELECT AVG(department_id) FROM employees);
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Show all customer_id values from the orders table.,SELECT customer_id FROM orders;
Show all credits values from the courses table.,SELECT credits FROM courses;
Get the name from employees along with matching id from customers.,"SELECT employees.name, customers.id FROM employees JOIN customers ON employees.id = customers.id;"
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all email values from the customers table.,SELECT email FROM customers;
Get all rows from courses where id is greater than the average.,SELECT * FROM courses WHERE id > (SELECT AVG(id) FROM courses);
Show all gpa values from the students table.,SELECT gpa FROM students;
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Show all id values from the orders table.,SELECT id FROM orders;
Get all rows from products where id is greater than the average.,SELECT * FROM products WHERE id > (SELECT AVG(id) FROM products);
Show all category values from the products table.,SELECT category FROM products;
Get the payment_method from payments along with matching salary from employees.,"SELECT payments.payment_method, employees.salary FROM payments JOIN employees ON payments.id = employees.id;"
Show all id values from the customers table.,SELECT id FROM customers;
Show all grade values from the grades table.,SELECT grade FROM grades;
Get all rows from orders where order_date is greater than the average.,SELECT * FROM orders WHERE order_date > (SELECT AVG(order_date) FROM orders);
Get the payment_date from payments along with matching gpa from students.,"SELECT payments.payment_date, students.gpa FROM payments JOIN students ON payments.id = students.id;"
Show all order_date values from the orders table.,SELECT order_date FROM orders;
Get the grade from grades along with matching payment_method from payments.,"SELECT grades.grade, payments.payment_method FROM grades JOIN payments ON grades.id = payments.id;"
Show all id values from the courses table.,SELECT id FROM courses;
Show all name values from the departments table.,SELECT name FROM departments;
Show all id values from the courses table.,SELECT id FROM courses;
Show all hire_date values from the employees table.,SELECT hire_date FROM employees;
Show all category values from the products table.,SELECT category FROM products;
Show all id values from the payments table.,SELECT id FROM payments;
Get the category from products along with matching title from courses.,"SELECT products.category, courses.title FROM products JOIN courses ON products.id = courses.id;"
Get the hire_date from employees along with matching title from courses.,"SELECT employees.hire_date, courses.title FROM employees JOIN courses ON employees.id = courses.id;"
Show all total_amount values from the orders table.,SELECT total_amount FROM orders;
Get all rows from students where enrollment_date is greater than the average.,SELECT * FROM students WHERE enrollment_date > (SELECT AVG(enrollment_date) FROM students);
Show all id values from the students table.,SELECT id FROM students;
Get all rows from employees where department_id is greater than the average.,SELECT * FROM employees WHERE department_id > (SELECT AVG(department_id) FROM employees);
Get the name from students along with matching order_id from payments.,"SELECT students.name, payments.order_id FROM students JOIN payments ON students.id = payments.id;"
Show all id values from the payments table.,SELECT id FROM payments;
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Get the id from products along with matching total_amount from orders.,"SELECT products.id, orders.total_amount FROM products JOIN orders ON products.id = orders.id;"
Get all rows from courses where department is greater than the average.,SELECT * FROM courses WHERE department > (SELECT AVG(department) FROM courses);
Get all rows from students where gpa is greater than the average.,SELECT * FROM students WHERE gpa > (SELECT AVG(gpa) FROM students);
Get all rows from grades where grade is greater than the average.,SELECT * FROM grades WHERE grade > (SELECT AVG(grade) FROM grades);
Show all department_id values from the employees table.,SELECT department_id FROM employees;
Get the email from customers along with matching salary from employees.,"SELECT customers.email, employees.salary FROM customers JOIN employees ON customers.id = employees.id;"
Show all id values from the employees table.,SELECT id FROM employees;
Show all title values from the courses table.,SELECT title FROM courses;
Get the location from departments along with matching signup_date from customers.,"SELECT departments.location, customers.signup_date FROM departments JOIN customers ON departments.id = customers.id;"
Show all amount values from the payments table.,SELECT amount FROM payments;
Show all stock values from the products table.,SELECT stock FROM products;
Show all name values from the products table.,SELECT name FROM products;
Show all id values from the orders table.,SELECT id FROM orders;
Show all major values from the students table.,SELECT major FROM students;
Get all rows from courses where department is greater than the average.,SELECT * FROM courses WHERE department > (SELECT AVG(department) FROM courses);
Get the order_id from payments along with matching order_date from orders.,"SELECT payments.order_id, orders.order_date FROM payments JOIN orders ON payments.id = orders.id;"
Show all location values from the departments table.,SELECT location FROM departments;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all id values from the orders table.,SELECT id FROM orders;
Get all rows from payments where payment_method is greater than the average.,SELECT * FROM payments WHERE payment_method > (SELECT AVG(payment_method) FROM payments);
Get the student_id from grades along with matching amount from payments.,"SELECT grades.student_id, payments.amount FROM grades JOIN payments ON grades.id = payments.id;"
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all id values from the customers table.,SELECT id FROM customers;
Get all rows from customers where id is greater than the average.,SELECT * FROM customers WHERE id > (SELECT AVG(id) FROM customers);
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all amount values from the payments table.,SELECT amount FROM payments;
Get the price from products along with matching payment_date from payments.,"SELECT products.price, payments.payment_date FROM products JOIN payments ON products.id = payments.id;"
Show all id values from the orders table.,SELECT id FROM orders;
Get the credits from courses along with matching student_id from grades.,"SELECT courses.credits, grades.student_id FROM courses JOIN grades ON courses.id = grades.id;"
Get the id from departments along with matching name from customers.,"SELECT departments.id, customers.name FROM departments JOIN customers ON departments.id = customers.id;"
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all student_id values from the grades table.,SELECT student_id FROM grades;
Show all id values from the employees table.,SELECT id FROM employees;
Show all id values from the payments table.,SELECT id FROM payments;
Show all name values from the products table.,SELECT name FROM products;
Get the id from orders along with matching hire_date from employees.,"SELECT orders.id, employees.hire_date FROM orders JOIN employees ON orders.id = employees.id;"
Show all major values from the students table.,SELECT major FROM students;
Get the signup_date from customers along with matching credits from courses.,"SELECT customers.signup_date, courses.credits FROM customers JOIN courses ON customers.id = courses.id;"
Get the total_amount from orders along with matching department from courses.,"SELECT orders.total_amount, courses.department FROM orders JOIN courses ON orders.id = courses.id;"
Show all stock values from the products table.,SELECT stock FROM products;
Show all name values from the products table.,SELECT name FROM products;
Get all rows from products where stock is greater than the average.,SELECT * FROM products WHERE stock > (SELECT AVG(stock) FROM products);
Show all category values from the products table.,SELECT category FROM products;
Get all rows from students where gpa is greater than the average.,SELECT * FROM students WHERE gpa > (SELECT AVG(gpa) FROM students);
Show all price values from the products table.,SELECT price FROM products;
Show all id values from the products table.,SELECT id FROM products;
Show all location values from the departments table.,SELECT location FROM departments;
Show all payment_date values from the payments table.,SELECT payment_date FROM payments;
Get all rows from courses where title is greater than the average.,SELECT * FROM courses WHERE title > (SELECT AVG(title) FROM courses);
Get the major from students along with matching department from courses.,"SELECT students.major, courses.department FROM students JOIN courses ON students.id = courses.id;"
Show all price values from the products table.,SELECT price FROM products;
Show all major values from the students table.,SELECT major FROM students;
Show all email values from the customers table.,SELECT email FROM customers;
Show all id values from the students table.,SELECT id FROM students;
Get the order_date from orders along with matching email from customers.,"SELECT orders.order_date, customers.email FROM orders JOIN customers ON orders.id = customers.id;"
Show all title values from the courses table.,SELECT title FROM courses;
Get all rows from departments where name is greater than the average.,SELECT * FROM departments WHERE name > (SELECT AVG(name) FROM departments);
Get all rows from departments where location is greater than the average.,SELECT * FROM departments WHERE location > (SELECT AVG(location) FROM departments);
Show all id values from the payments table.,SELECT id FROM payments;
Show all id values from the customers table.,SELECT id FROM customers;
Get the name from students along with matching department from courses.,"SELECT students.name, courses.department FROM students JOIN courses ON students.id = courses.id;"
Show all title values from the courses table.,SELECT title FROM courses;
Get all rows from orders where id is greater than the average.,SELECT * FROM orders WHERE id > (SELECT AVG(id) FROM orders);
Get all rows from students where gpa is greater than the average.,SELECT * FROM students WHERE gpa > (SELECT AVG(gpa) FROM students);
Show all id values from the customers table.,SELECT id FROM customers;
Show all signup_date values from the customers table.,SELECT signup_date FROM customers;
Show all location values from the departments table.,SELECT location FROM departments;
Show all id values from the departments table.,SELECT id FROM departments;
Get all rows from departments where location is greater than the average.,SELECT * FROM departments WHERE location > (SELECT AVG(location) FROM departments);
Show all id values from the customers table.,SELECT id FROM customers;
Show all id values from the products table.,SELECT id FROM products;
Get the title from courses along with matching name from departments.,"SELECT courses.title, departments.name FROM courses JOIN departments ON courses.id = departments.id;"
Get all rows from courses where credits is greater than the average.,SELECT * FROM courses WHERE credits > (SELECT AVG(credits) FROM courses);
Get all rows from departments where name is greater than the average.,SELECT * FROM departments WHERE name > (SELECT AVG(name) FROM departments);
